src_ip,dst_ip,protocol,len,src_port,dst_port,flags
10.135.157.7,150.171.22.17,6,40,55064,443,A
150.171.22.17,10.135.157.7,6,1420,443,55064,A
150.171.22.17,10.135.157.7,6,1420,443,55064,A
150.171.22.17,10.135.157.7,6,516,443,55064,PA
10.135.157.7,150.171.22.17,6,40,55064,443,A
10.135.157.7,150.171.22.17,6,198,55064,443,PA
10.135.157.7,150.171.22.17,6,139,55064,443,PA
10.135.157.7,150.171.22.17,6,585,55064,443,PA
163.70.144.61,10.135.157.7,6,169,80,55063,PA
163.70.144.61,10.135.157.7,6,103,80,55063,PA
163.70.144.61,10.135.157.7,6,106,80,55063,PA
10.135.157.7,163.70.144.61,6,40,55063,80,A
23.206.173.144,10.135.157.7,6,40,443,55054,A
150.171.22.17,10.135.157.7,6,40,443,55064,A
150.171.22.17,10.135.157.7,6,382,443,55064,PA
150.171.22.17,10.135.157.7,6,109,443,55064,PA
150.171.22.17,10.135.157.7,6,40,443,55064,A
150.171.22.17,10.135.157.7,6,78,443,55064,PA
10.135.157.7,150.171.22.17,6,40,55064,443,A
10.135.157.7,150.171.22.17,6,78,55064,443,PA
10.135.157.7,163.70.144.61,6,98,55063,80,PA
150.171.22.17,10.135.157.7,6,40,443,55064,A
71.18.222.1,10.135.157.7,6,40,443,55055,A
163.70.144.61,10.135.157.7,6,40,80,55063,A
71.18.222.1,10.135.157.7,6,40,443,55055,A
163.70.144.61,10.135.157.7,6,92,80,55063,PA
163.70.144.61,10.135.157.7,6,99,80,55063,PA
10.135.157.7,163.70.144.61,6,40,55063,80,A
10.135.157.7,163.70.144.61,6,135,55063,80,PA
10.135.157.7,163.70.144.61,6,86,55063,80,PA
10.135.157.7,163.70.144.61,6,81,55063,80,PA
10.135.157.7,71.18.222.1,6,52,55065,443,S
23.206.173.144,10.135.157.7,6,967,443,55054,PA
23.206.173.144,10.135.157.7,6,92,443,55054,PA
10.135.157.7,23.206.173.144,6,40,55054,443,A
10.135.157.7,23.206.173.144,6,75,55054,443,PA
10.135.157.7,163.70.144.61,6,208,55063,80,PA
163.70.144.61,10.135.157.7,6,40,80,55063,A
163.70.144.61,10.135.157.7,6,40,80,55063,A
163.70.144.61,10.135.157.7,6,40,80,55063,A
71.18.222.1,10.135.157.7,6,880,443,55055,PA
163.70.144.61,10.135.157.7,6,40,80,55063,A
163.70.144.61,10.135.157.7,6,95,80,55063,PA
163.70.144.61,10.135.157.7,6,418,80,55063,PA
163.70.144.61,10.135.157.7,6,83,80,55063,PA
10.135.157.7,163.70.144.61,6,40,55063,80,A
10.135.157.7,163.70.144.61,6,94,55063,80,PA
150.171.22.17,10.135.157.7,6,654,443,55064,PA
10.135.157.7,150.171.22.17,6,40,55064,443,FA
10.135.157.7,71.18.222.1,6,40,55055,443,A
150.171.22.17,10.135.157.7,6,40,443,55064,A
150.171.22.17,10.135.157.7,6,40,443,55064,FA
10.135.157.7,150.171.22.17,6,40,55064,443,A
10.135.157.7,223.196.81.98,6,40,54514,443,FA
163.70.144.61,10.135.157.7,6,108,80,55063,PA
10.135.157.7,163.70.144.61,6,174,55063,80,PA
10.135.157.7,163.70.144.61,6,175,55063,80,PA
10.135.157.7,163.70.144.61,6,93,55063,80,PA
10.135.157.7,163.70.144.61,6,94,55063,80,PA
10.135.157.7,163.70.144.61,6,101,55063,80,PA
163.70.144.61,10.135.157.7,6,40,80,55063,A
163.70.144.61,10.135.157.7,6,40,80,55063,A
23.206.173.144,10.135.157.7,6,40,443,55054,A
163.70.144.61,10.135.157.7,6,40,80,55063,A
163.70.144.61,10.135.157.7,6,88,80,55063,PA
71.18.222.1,10.135.157.7,6,52,443,55065,SA
10.135.157.7,71.18.222.1,6,40,55065,443,A
10.135.157.7,71.18.222.1,6,218,55065,443,PA
163.70.144.61,10.135.157.7,6,331,80,55063,PA
10.135.157.7,163.70.144.61,6,40,55063,80,A
163.70.144.61,10.135.157.7,6,504,80,55063,PA
10.135.157.7,163.70.144.61,6,86,55063,80,PA
163.70.144.61,10.135.157.7,6,166,80,55063,PA
163.70.144.61,10.135.157.7,6,88,80,55063,PA
10.135.157.7,163.70.144.61,6,40,55063,80,A
163.70.144.61,10.135.157.7,6,40,80,55063,A
71.18.222.1,10.135.157.7,6,40,443,55065,A
71.18.222.1,10.135.157.7,6,1392,443,55065,A
71.18.222.1,10.135.157.7,6,1392,443,55065,PA
71.18.222.1,10.135.157.7,6,1392,443,55065,A
71.18.222.1,10.135.157.7,6,80,443,55065,PA
71.18.222.1,10.135.157.7,6,98,443,55065,PA
10.135.157.7,71.18.222.1,6,40,55065,443,A
10.135.157.7,71.18.222.1,6,166,55065,443,PA
163.70.144.61,10.135.157.7,6,277,80,55063,PA
163.70.144.61,10.135.157.7,6,281,80,55063,PA
10.135.157.7,163.70.144.61,6,40,55063,80,A
163.70.144.61,10.135.157.7,6,1420,80,55063,A
163.70.144.61,10.135.157.7,6,151,80,55063,PA
10.135.157.7,163.70.144.61,6,40,55063,80,A
163.70.144.61,10.135.157.7,6,1420,80,55063,A
163.70.144.61,10.135.157.7,6,155,80,55063,PA
10.135.157.7,163.70.144.61,6,40,55063,80,A
163.70.144.61,10.135.157.7,6,1420,80,55063,A
163.70.144.61,10.135.157.7,6,151,80,55063,PA
163.70.144.61,10.135.157.7,6,395,80,55063,PA
10.135.157.7,163.70.144.61,6,40,55063,80,A
10.135.157.7,57.144.215.32,6,52,55067,443,S
10.135.157.7,223.196.81.98,6,52,55066,443,S
10.135.157.7,157.240.16.52,6,52,55068,443,S
10.135.157.7,57.144.125.32,6,52,55069,443,S
10.135.157.7,163.70.144.60,6,52,55070,443,S
10.135.157.7,163.70.143.60,6,52,55071,443,S
10.135.157.7,157.240.16.52,6,52,55072,443,S
10.135.157.7,57.144.177.32,6,52,55073,443,S
71.18.222.1,10.135.157.7,6,314,443,55065,PA
10.135.157.7,71.18.222.1,6,0,55065,443,PA
223.196.81.98,10.135.157.7,6,52,443,55066,SA
10.135.157.7,223.196.81.98,6,40,55066,443,A
10.135.157.7,223.196.81.98,6,713,55066,443,PA
157.240.16.52,10.135.157.7,6,52,443,55068,SA
10.135.157.7,157.240.16.52,6,40,55068,443,A
10.135.157.7,157.240.16.52,6,685,55068,443,PA
57.144.125.32,10.135.157.7,6,52,443,55069,SA
10.135.157.7,57.144.125.32,6,40,55069,443,A
10.135.157.7,57.144.125.32,6,698,55069,443,PA
57.144.177.32,10.135.157.7,6,52,443,55073,SA
157.240.16.52,10.135.157.7,6,52,443,55072,SA
163.70.144.60,10.135.157.7,6,52,443,55070,SA
163.70.143.60,10.135.157.7,6,52,443,55071,SA
10.135.157.7,57.144.177.32,6,40,55073,443,A
10.135.157.7,157.240.16.52,6,40,55072,443,A
10.135.157.7,163.70.144.60,6,40,55070,443,A
10.135.157.7,163.70.143.60,6,40,55071,443,A
10.135.157.7,157.240.16.52,6,698,55072,443,PA
10.135.157.7,163.70.144.60,6,698,55070,443,PA
10.135.157.7,163.70.143.60,6,698,55071,443,PA
10.135.157.7,57.144.177.32,6,698,55073,443,PA
223.196.81.98,10.135.157.7,6,40,443,55066,A
223.196.81.98,10.135.157.7,6,252,443,55066,PA
10.135.157.7,223.196.81.98,6,40,55066,443,A
57.144.215.32,10.135.157.7,6,52,443,55067,SA
10.135.157.7,57.144.215.32,6,40,55067,443,A
157.240.16.52,10.135.157.7,6,40,443,55068,A
10.135.157.7,57.144.215.32,6,698,55067,443,PA
157.240.16.52,10.135.157.7,6,252,443,55068,PA
10.135.157.7,157.240.16.52,6,40,55068,443,A
10.135.157.7,223.196.81.98,6,104,55066,443,PA
10.135.157.7,223.196.81.98,6,120,55066,443,PA
10.135.157.7,157.240.16.52,6,104,55068,443,PA
10.135.157.7,157.240.16.52,6,120,55068,443,PA
10.135.157.7,223.196.81.98,6,203,55066,443,PA
10.135.157.7,157.240.16.52,6,193,55068,443,PA
57.144.125.32,10.135.157.7,6,40,443,55069,A
57.144.125.32,10.135.157.7,6,252,443,55069,PA
10.135.157.7,57.144.125.32,6,40,55069,443,A
57.144.177.32,10.135.157.7,6,40,443,55073,A
163.70.143.60,10.135.157.7,6,40,443,55071,A
223.196.81.98,10.135.157.7,6,40,443,55066,A
157.240.16.52,10.135.157.7,6,40,443,55072,A
223.196.81.98,10.135.157.7,6,232,443,55066,PA
157.240.16.52,10.135.157.7,6,252,443,55072,PA
163.70.144.60,10.135.157.7,6,40,443,55070,A
223.196.81.98,10.135.157.7,6,114,443,55066,PA
163.70.144.60,10.135.157.7,6,252,443,55070,PA
223.196.81.98,10.135.157.7,6,84,443,55066,PA
223.196.81.98,10.135.157.7,6,145,443,55066,PA
57.144.177.32,10.135.157.7,6,252,443,55073,PA
223.196.81.98,10.135.157.7,6,71,443,55066,PA
10.135.157.7,223.196.81.98,6,40,55066,443,A
10.135.157.7,157.240.16.52,6,40,55072,443,A
10.135.157.7,163.70.144.60,6,40,55070,443,A
10.135.157.7,57.144.177.32,6,40,55073,443,A
10.135.157.7,57.144.125.32,6,104,55069,443,PA
10.135.157.7,57.144.125.32,6,120,55069,443,PA
10.135.157.7,223.196.81.98,6,71,55066,443,PA
157.240.16.52,10.135.157.7,6,40,443,55068,A
163.70.143.60,10.135.157.7,6,252,443,55071,PA
10.135.157.7,163.70.143.60,6,40,55071,443,A
10.135.157.7,163.70.144.60,6,104,55070,443,PA
157.240.16.52,10.135.157.7,6,219,443,55068,PA
157.240.16.52,10.135.157.7,6,114,443,55068,PA
157.240.16.52,10.135.157.7,6,71,443,55068,PA
10.135.157.7,157.240.16.52,6,40,55068,443,A
10.135.157.7,157.240.16.52,6,104,55072,443,PA
10.135.157.7,57.144.177.32,6,104,55073,443,PA
10.135.157.7,163.70.143.60,6,104,55071,443,PA
10.135.157.7,157.240.16.52,6,120,55072,443,PA
10.135.157.7,163.70.144.60,6,120,55070,443,PA
10.135.157.7,57.144.177.32,6,120,55073,443,PA
10.135.157.7,163.70.143.60,6,120,55071,443,PA
10.135.157.7,157.240.16.52,6,71,55068,443,PA
10.135.157.7,57.144.125.32,6,202,55069,443,PA
10.135.157.7,163.70.144.60,6,202,55070,443,PA
10.135.157.7,57.144.177.32,6,202,55073,443,PA
10.135.157.7,157.240.16.52,6,202,55072,443,PA
10.135.157.7,163.70.143.60,6,202,55071,443,PA
157.240.16.52,10.135.157.7,6,75,443,55068,PA
10.135.157.7,157.240.16.52,6,40,55068,443,A
157.240.16.52,10.135.157.7,6,145,443,55068,PA
157.240.16.52,10.135.157.7,6,71,443,55068,PA
10.135.157.7,157.240.16.52,6,40,55068,443,A
57.144.215.32,10.135.157.7,6,40,443,55067,A
57.144.215.32,10.135.157.7,6,252,443,55067,PA
10.135.157.7,57.144.215.32,6,40,55067,443,A
10.135.157.7,57.144.215.32,6,104,55067,443,PA
10.135.157.7,57.144.215.32,6,120,55067,443,PA
10.135.157.7,57.144.215.32,6,202,55067,443,PA
57.144.177.32,10.135.157.7,6,40,443,55073,A
57.144.125.32,10.135.157.7,6,40,443,55069,A
157.240.16.52,10.135.157.7,6,40,443,55072,A
163.70.144.60,10.135.157.7,6,40,443,55070,A
163.70.143.60,10.135.157.7,6,40,443,55071,A
57.144.125.32,10.135.157.7,6,219,443,55069,PA
10.135.157.7,57.144.125.32,6,40,55069,443,A
157.240.16.52,10.135.157.7,6,219,443,55072,PA
57.144.125.32,10.135.157.7,6,114,443,55069,PA
57.144.177.32,10.135.157.7,6,219,443,55073,PA
57.144.125.32,10.135.157.7,6,84,443,55069,PA
10.135.157.7,57.144.125.32,6,40,55069,443,A
10.135.157.7,157.240.16.52,6,40,55072,443,A
10.135.157.7,57.144.177.32,6,40,55073,443,A
10.135.157.7,57.144.125.32,6,71,55069,443,PA
163.70.144.60,10.135.157.7,6,219,443,55070,PA
157.240.16.52,10.135.157.7,6,114,443,55072,PA
57.144.177.32,10.135.157.7,6,114,443,55073,PA
163.70.144.60,10.135.157.7,6,114,443,55070,PA
57.144.125.32,10.135.157.7,6,145,443,55069,PA
